,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,005406,中金金序量化蓝筹C,ZJJXLHLCC,1.0477,1.0477,1.0001,1.0001,0.0476,4.76,开放申购,开放赎回,,1,0,1,,0,0.00%,,,
1,001792,大成绝对收益策略混合C,DCJDSYCLHHC,0.9490,0.9490,0.9390,0.9390,0.01,1.07,开放申购,开放赎回,,1,0,2,,0,0.00%,,,
2,001791,大成绝对收益策略混合A,DCJDSYCLHHA,0.9710,0.9710,0.9610,0.9610,0.01,1.04,开放申购,开放赎回,,1,0,3,,1,0.15%,0.15%,1,1.50%
3,519062,海富通阿尔法对冲混合,HFTAEFDCHH,1.3460,1.3460,1.3330,1.3330,0.0130,0.98,开放申购,开放赎回,,1,0,4,,1,0.15%,0.15%,1,1.50%
4,001073,华泰柏瑞量化绝对收益混合,HTBRLHJDSYHH,1.0842,1.0842,1.0772,1.0772,0.0070,0.65,暂停申购,暂停赎回,,6,0,5,,1,0.15%,0.15%,1,1.50%
5,000754,华宝量化对冲混合C,HBLHDCHHC,1.0594,1.2394,1.0530,1.2330,0.0064,0.61,开放申购,开放赎回,,1,0,6,,0,0.00%,,,
6,000753,华宝量化对冲混合A,HBLHDCHHA,1.0625,1.2425,1.0561,1.2361,0.0064,0.61,开放申购,开放赎回,,1,0,7,,1,0.08%,0.08%,1,0.80%
7,002804,华泰柏瑞量化对冲,HTBRLHDC,1.0566,1.0566,1.0504,1.0504,0.0062,0.59,暂停申购,暂停赎回,,,0,8,,99,0.00%,0.00%,99,0.00%
8,161226,国投瑞银白银期货(LOF),GTRYBYQHLOF,0.8110,0.8110,0.8070,0.8070,0.0040,0.50,限大额,开放赎回,,1,0,9,,1,0.10%,0.10%,1,1.00%
9,001565,永赢量化混合发起式,YYLHHHFQS,0.7886,0.7886,0.7856,0.7856,0.0030,0.38,开放申购,开放赎回,,1,0,10,,1,0.15%,0.15%,1,1.50%
10,002655,南方卓享绝对收益,NFZXJDSY,1.0303,1.0303,1.0270,1.0270,0.0033,0.32,开放申购,开放赎回,,1,0,11,,1,0.15%,0.15%,1,1.50%
11,000571,中邮双动力混合,ZYSDLHH,1.35,1.35,1.3460,1.3460,0.0040,0.30,开放申购,开放赎回,,1,0,12,,1,0.15%,0.15%,1,1.50%
